seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
22,9428,-6852,652,697,-4239,520,-0.1,0.09,0.12,0.983948,-10.314845,-11.621352,-14.523915,5972,-3475,-12103,4698,-4681,-12256
23,8508,-6004,4148,646,-4773,747,-0.09,0.04,0.13,0.987061,-9.633688,-5.937453,-14.878073,5298,-2867,-9996,5263,-3319,-9871
24,9180,-716,21308,715,-5682,1053,-0.08,-0.02,0.14,0.987122,-8.955401,0.573082,-15.834028,4327,-1962,-6768,5047,-1656,-6335
25,9856,8476,32767,567,-5688,1121,-0.06,-0.08,0.16,0.983032,-8.081617,7.77046,-17.481417,3468,125,-642,3331,1149,-178
26,9612,13032,32767,257,-4337,642,-0.04,-0.13,0.17,0.975952,-7.200856,14.250141,-19.266117,2755,2915,3652,581,3790,3835
27,9596,15548,32767,235,-2191,-87,-0.02,-0.17,0.17,0.970276,-6.23212,18.541401,-20.283272,2140,5187,6041,-1820,5527,5839
28,9764,14436,32767,200,254,-829,-0.01,-0.18,0.17,0.969421,-4.726758,20.089731,-20.116703,1991,6509,7300,-2897,6484,7012
29,8292,13688,32767,-114,2366,-1376,-0.0,-0.16,0.16,0.973877,-3.181842,18.705572,-18.698061,2082,6887,7872,-2750,6789,7749
30,7652,10872,32767,-377,3516,-1927,0.0,-0.13,0.14,0.981384,-1.95216,15.207981,-16.338116,2212,6671,8070,-1870,6685,8143
31,7704,7360,25920,-596,3971,-2296,-0.0,-0.09,0.11,0.988892,-1.281786,10.711542,-13.382101,2593,5773,7750,-275,6045,7967
32,7816,4960,14436,-761,4091,-2446,-0.01,-0.05,0.09,0.994507,-1.236816,6.079145,-10.213478,3214,4614,5273,1761,5122,5482
33,5544,4556,472,-851,3828,-2520,-0.01,-0.01,0.06,0.997864,-1.743819,1.552342,-7.088559,3554,3812,921,3026,4247,900
34,5192,-720,-3364,-419,2822,-2880,-0.02,0.02,0.03,0.999023,-2.438615,-2.277549,-3.833814,3536,2870,-3747,3195,2922,-4003
35,6904,-6956,-2840,-201,2066,-3096,-0.03,0.04,0.0,0.998718,-3.11765,-4.855927,-0.216446,3715,1051,-6449,3152,696,-6787
36,9832,-16712,-6940,-544,1836,-3040,-0.04,0.06,-0.03,0.997009,-4.371461,-6.614977,3.564945,4464,-1536,-8125,3353,-2393,-8444
37,12372,-24496,-16856,-414,1540,-2499,-0.05,0.07,-0.06,0.993835,-6.551393,-7.91169,7.027067,5553,-4928,-10603,3249,-6613,-10639
38,11104,-31324,-23292,426,594,-1617,-0.07,0.08,-0.09,0.990356,-8.669928,-8.447014,9.754996,6687,-8216,-13743,2766,-10921,-13195
